Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
(1)	NULL				
(2)	NULL				
a	a	taratàsy fahazòana mitòndra fiarakodìa, zanadrahalàhy	Malagasy	1267	U+0061
n	n	ròa lìvatra ny lànjan’ny èntana, manìdina	Malagasy	1132	U+006e
a$	a	vòa, mitòndra	Malagasy	923	U+0061 U+0024
r	r	mamirapìratra, zàndry	Malagasy	647	U+0072
i	i	mibitsibìtsika, mikiakìaka	Malagasy	646	U+0069
à	à/a	zàndry, vinànto vàvy	Malagasy	646	U+00e0
^m	m	mitòndra, mitàna	Malagasy	539	U+005e U+006d
o	o	voalòboka, horohorontàny	Malagasy	466	U+006f
t	t	fòtotra, àntitra	Malagasy	441	U+0074
y$	y	ìzy, zàndry	Malagasy	436	U+0079 U+0024
k	k	mikiakìaka, zòky	Malagasy	357	U+006b
ò	ò/o	zòky, vòa	Malagasy	297	U+00f2
m	m	ambàny, ambòny	Malagasy	290	U+006d
d	d	zàndry, midradradràdra	Malagasy	285	U+0064
l	l	rahalàhy, voalòboka	Malagasy	276	U+006c
o$	o	mahàzo, dìso	Malagasy	252	U+006f U+0024
ì	ì/i	manìdina, aorìana	Malagasy	216	U+00ec
v	v	zanadrahavàvy, vinànto vàvy	Malagasy	212	U+0076
è	è/e	manamèloka, mèloka	Malagasy	204	U+00e8
b	b	ambàny, ambòny	Malagasy	164	U+0062
^f	f	famàky, fòtotra	Malagasy	147	U+005e U+0066
h	h	mahàzo, mireharèha	Malagasy	141	U+0068
f	f	manàfaka, zàfy	Malagasy	124	U+0066
p	p	bìby fiòmpy, mpanjàka	Malagasy	119	U+0070
^t	t	tònga, tàny	Malagasy	109	U+005e U+0074
^v	v	vòa, vàdy	Malagasy	107	U+005e U+0076
_	_	ròa lìvatra ny lànjan’ny èntana, tsy...na oviana na ovìana	Malagasy	105	U+005f
^a	a	ambàny, ambòny	Malagasy	101	U+005e U+0061
z	z	ìzy, mahàzo	Malagasy	100	U+007a
ts	ts	antsàntsa, mibitsibìtsika	Malagasy	90	U+0074 U+0073
g	g	tònga, vangovàngo	Malagasy	88	U+0067
^l	l	làlana, lafàoro	Malagasy	80	U+005e U+006c
^s	s	sàha, sàhy	Malagasy	79	U+005e U+0073
e	e	telefaònina, mireharèha	Malagasy	76	U+0065
^r	r	rèny, ray	Malagasy	73	U+005e U+0072
^h	h	hòho, hìdy	Malagasy	71	U+005e U+0068
s	s	misàmbotra, fisalasàlana	Malagasy	62	U+0073
àh	à/a h	sàha, sàhy	Malagasy	56	U+00e0 U+0068
^z	z	zòky, zàndry	Malagasy	49	U+005e U+007a
^k	k	kapàoty, kàmo	Malagasy	44	U+005e U+006b
j	j	mpanjàka, mijìnja	Malagasy	41	U+006a
y	y	bìby fiòmpy, tsy mìsy elanèlana	Malagasy	36	U+0079
^b	b	bàbo, bìby fiòmpy	Malagasy	35	U+005e U+0062
^ts	ts	tsìlo, tsy	Malagasy	34	U+005e U+0074 U+0073
^à	à/a	àndro, àntitra	Malagasy	34	U+005e U+00e0
às	à/a s	taratàsy, màsaka	Malagasy	34	U+00e0 U+0073
òh	ò/o h	hòho, vòhitra	Malagasy	31	U+00f2 U+0068
-	+	lai-n-tsàmbo, fitodian-tsàmbo	Malagasy	28	U+002d
^i	i	ianarèo, in-telo	Malagasy	22	U+005e U+0069
