Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
(	NULL				
)	NULL				
1	NULL				
2	NULL				
a	a	maname aulana, talapu	Kali'na	820	U+0061
l	l	kaleta, yulu	Kali'na	612	U+006c
o	o	kolotoko, tonomɨ	Kali'na	508	U+006f
n	n	onumenkano, nonta	Kali'na	438	U+006e
p	p	elupopa, ipapo	Kali'na	437	U+0070
k	k	nokɨ ko, tuketuke	Kali'na	403	U+006b
t	t	kaleta, suntatɨ	Kali'na	372	U+0074
u	u	yulu, putuputuli	Kali'na	362	U+0075
e	e	kaleta, welema	Kali'na	357	U+0065
i	i	siliko, silapime	Kali'na	348	U+0069
a$	a	kaleta, nonta	Kali'na	337	U+0061 U+0024
m	m	emamɨ, -ɨme tamulu	Kali'na	327	U+006d
o$	o	nono, wo	Kali'na	280	U+006f U+0024
ɨ	ɨ	sɨkɨsɨkɨma, pɨtɨnpo	Kali'na	250	U+0268
ɨ$	ɨ	suntatɨ, emamɨ	Kali'na	245	U+0268 U+0024
^a	a	apɨi, aulan	Kali'na	187	U+005e U+0061
^k	k	kaleta, konu	Kali'na	165	U+005e U+006b
e$	e	lakele, ekɨine	Kali'na	158	U+0065 U+0024
^p	p	pe'a, -palɨ	Kali'na	158	U+005e U+0070
s	s	masi’pe, -palɨ sano	Kali'na	158	U+0073
w	w	kulawa, kawale wokɨlɨ	Kali'na	149	U+0077
^w	w	wo, wolɨi	Kali'na	145	U+005e U+0077
-	+	-palɨ, -mitɨ	Kali'na	140	U+002d
^e	e	emamɨ, eta	Kali'na	128	U+005e U+0065
u$	u	yulu, talapu	Kali'na	125	U+0075 U+0024
i$	i	wolɨi, apɨi	Kali'na	121	U+0069 U+0024
^t	t	talapu, tonomɨ	Kali'na	114	U+005e U+0074
y	y	tuyuyu, ayoma	Kali'na	78	U+0079
^m	m	melo, melotopo	Kali'na	77	U+005e U+006d
_	_	-palɨ sano, -lalɨ poko wɨto	Kali'na	73	U+005f
^s	s	suntatɨ, siliko	Kali'na	72	U+005e U+0073
n$	n	aulan, -epinonen	Kali'na	63	U+006e U+0024
’	ʔ	pa’u, masi’pe	Kali'na	59	U+2019
^i	i	ipekɨ, ipapo	Kali'na	58	U+005e U+0069
^o	o	oma, onumenkano	Kali'na	56	U+005e U+006f
^u	u	untɨma, uwenpo	Kali'na	44	U+005e U+0075
^l	l	lakele, -lalɨ	Kali'na	35	U+005e U+006c
^n	n	nonta, nono	Kali'na	30	U+005e U+006e
^y	y	yulu, yuluma	Kali'na	29	U+005e U+0079
^ɨ	ɨ	ɨlɨ, -ɨ’me	Kali'na	27	U+005e U+0268
d	d	vendredi, mercredi	Kali'na	12	U+0064
r	r	mercredi, fromage	Kali'na	10	U+0072
^b	b	bekima, buretɨ	Kali'na	9	U+005e U+0062
ch	ʃ 	machine, cachot	Kali'na	6	U+0063 U+0068
't	ʔ t	wa'topo, wa'to	Kali'na	6	U+0027 U+0074
’w	ʔ w	o’winpupo, o’win	Kali'na	4	U+2019 U+0077
^d	d	diletɨ, dibe	Kali'na	4	U+005e U+0064
é$	é/e	paské, kafé	Kali'na	4	U+00e9 U+0024
'a$	ʔ a	pe'a, a'a	Kali'na	4	U+0027 U+0061 U+0024
ns	n s	ensuma, unsiko	Kali'na	4	U+006e U+0073
l$	l	bal, dilwil	Kali'na	4	U+006c U+0024
