Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	tagayasu, takai	Japanese	1076	U+0061
i	i	sekinin, tairiku	Japanese	675	U+0069
u$	u	motsu, kaku	Japanese	617	U+0075 U+0024
o	o	kokoro, potopoto ochiru	Japanese	567	U+006f
k	k	kaku, ibiki o kaku	Japanese	551	U+006b
u	u	yurusu, kuruma	Japanese	549	U+0075
r	r	toraeru, kariru	Japanese	546	U+0072
i$	i	mugi, oji	Japanese	511	U+0069 U+0024
e	e	neru, wakeru	Japanese	391	U+0065
^k	k	kokoro, kaku	Japanese	327	U+005e U+006b
n	n	kaminari, tonari no hito	Japanese	303	U+006e
m	m	mamamusume, kaminari	Japanese	298	U+006d
a$	a	oba, kyassaba	Japanese	213	U+0061 U+0024
t	t	hi o tōsu, shūtome	Japanese	209	U+0074
o$	o	kokoro, to	Japanese	198	U+006f U+0024
b	b	oba, subesube	Japanese	186	U+0062
g	g	mugi, nagai	Japanese	182	U+0067
^m	m	mugi, motsu	Japanese	180	U+005e U+006d
^h	h	hosoi, hi o tōsu	Japanese	165	U+005e U+0068
s	s	hosoi, sasu	Japanese	165	U+0073
n$	n	shujin, sekinin	Japanese	156	U+006e U+0024
^s	s	suu, suji	Japanese	148	U+005e U+0073
sh	sh	mushi, toshishita no kyōdai	Japanese	137	U+0073 U+0068
^n	n	neru, niku	Japanese	128	U+005e U+006e
e$	e	sore, kare	Japanese	126	U+0065 U+0024
y	y	kyassaba, gyūnyū	Japanese	124	U+0079
^t	t	takai, toru	Japanese	121	U+005e U+0074
ts	ts	motsu, gatsugatsu	Japanese	115	U+0074 U+0073
ō$	ō	zō, benkyō	Japanese	103	U+014d U+0024
ō	ō	chōri, mōkeru	Japanese	102	U+014d
^sh	sh	shujin, shiri	Japanese	100	U+005e U+0073 U+0068
j	j	shujin, oji	Japanese	96	U+006a
^o	o	oba, oji	Japanese	92	U+005e U+006f
^a	a	akarui, ago	Japanese	91	U+005e U+0061
z	z	hizamazuku, nozomu	Japanese	85	U+007a
ch	ch	ichinichi, mamachichi	Japanese	85	U+0063 U+0068
d	d	kodomo, jida	Japanese	80	U+0064
_	_	hi o tōsu, ashi ga fujiyū da	Japanese	78	U+005f
^y	y	yurusu, yome	Japanese	75	U+005e U+0079
^b	b	benkyō, byōki	Japanese	62	U+005e U+0062
^i	i	imo, inoshishi	Japanese	61	U+005e U+0069
^d	d	dansei, denbu	Japanese	61	U+005e U+0064
ū	ū	shūtome, shūto	Japanese	56	U+016b
w	w	kowasu, niwa	Japanese	46	U+0077
^u	u	utsu, ue	Japanese	45	U+005e U+0075
^g	g	gai, gohan	Japanese	44	U+005e U+0067
^f	f	fune, feruto	Japanese	40	U+005e U+0066
^ts	ts	tsume, tsuki	Japanese	40	U+005e U+0074 U+0073
^r	r	rakuda, raimugi	Japanese	37	U+005e U+0072
^j	j	jida, jikan	Japanese	37	U+005e U+006a
kk	kk	hanmokku, oshikko	Japanese	34	U+006b U+006b
h	h	mamahaha, gohan	Japanese	33	U+0068
^ch	ch	chōri, chawan	Japanese	32	U+005e U+0063 U+0068
f	f	naifu, kafu	Japanese	23	U+0066
^w	w	wakeru, wan	Japanese	23	U+005e U+0077
^e	e	era, ei	Japanese	21	U+005e U+0065
ū$	ū	kutsū, suigyū	Japanese	19	U+016b U+0024
p	p	furaipan, supiichi	Japanese	18	U+0070
