Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
á	á	ƙásáa, ɗáukàa	Hausa	1217	U+00e1
à	à	ɗáukàa, gàbáatàa	Hausa	864	U+00e0
a$	a	ɗáukàa, sùrúkáa	Hausa	665	U+0061 U+0024
í	í	fílàafílíi, fíilíi	Hausa	596	U+00ed
a	a	táashì, ráanáa	Hausa	412	U+0061
i$	i	lâifíi, sùrúkíi	Hausa	381	U+0069 U+0024
n	n	gwángwáníi, ráanáa	Hausa	372	U+006e
ú	ú	sùrúkáa, sùrúkíi	Hausa	327	U+00fa
_	_	ƴar̃ wâa or ɗan wâa, bàa dáidái bá nèe	Hausa	326	U+005f
r	r	sùrúkáa, jírgín rúwáa	Hausa	270	U+0072
k	k	ɗáukàa, sùrúkáa	Hausa	265	U+006b
ì	ì	dáajìi, fár̃jìi	Hausa	216	U+00ec
y	y	hányàa, ƙáayàa	Hausa	194	U+0079
^m	m	mátúuƙíi, mài háskée	Hausa	177	U+005e U+006d
m	m	sámà, kúmáa	Hausa	174	U+006d
i	i	lâifíi, mài láimàa	Hausa	169	U+0069
t	t	mátúuƙíi, ɓáatàa	Hausa	159	U+0074
e$	e	mài háskée, hárshèe	Hausa	157	U+0065 U+0024
ó	ó	tsóohóo, zóomóo	Hausa	149	U+00f3
u	u	ɗáukàa, mátúuƙíi	Hausa	147	U+0075
r̃	r̃	'yár̃ úwáa, fár̃jìi	Hausa	143	U+0072 U+0303
b	b	rábàa, ínàbíi	Hausa	134	U+0062
^k	k	kàazáa, kúmáa	Hausa	130	U+005e U+006b
ù	ù	sùrúkáa, sùrúkíi	Hausa	123	U+00f9
l	l	fílàafílíi, fíilíi	Hausa	122	U+006c
o$	o	cíiwòo, kwàaɗóo	Hausa	118	U+006f U+0024
d	d	gúdù, bàa dáidái bá nèe	Hausa	114	U+0064
w	w	cíiwòo, 'yár̃ úwáa	Hausa	114	U+0077
è	è	támàcèn àládèe, hárshèe	Hausa	113	U+00e8
f	f	lâifíi, fílàafílíi	Hausa	112	U+0066
é	é	mài háskée, ƙéegée	Hausa	112	U+00e9
o	o	lóokàcí-lóokàcí, tóonàa	Hausa	103	U+006f
^b	b	bí, bàaƙóo	Hausa	101	U+005e U+0062
g	g	díddígèe, yí gùnàagúníi	Hausa	100	U+0067
^y	y	yáwàa, yáaròo	Hausa	98	U+005e U+0079
^t	t	táashì, táasàa	Hausa	97	U+005e U+0074
^g	g	gúdù, gàbáatàa	Hausa	96	U+005e U+0067
s	s	ƙásáa, táasàa	Hausa	90	U+0073
^s	s	sámà, sùrúkáa	Hausa	89	U+005e U+0073
ƙ	<?>	mátúuƙíi, bàaƙóo	Hausa	88	U+0199
u$	u	háu, sáamùu	Hausa	72	U+0075 U+0024
^d	d	dáajìi, dúutsèe	Hausa	71	U+005e U+0064
^h	h	hányàa, háu	Hausa	68	U+005e U+0068
ò	ò	cíiwòo, ágòolà	Hausa	67	U+00f2
c	c	ámìncée, támàcè	Hausa	66	U+0063
ɗ	ɗ	kwàaɗóo, fáaɗì	Hausa	65	U+0257
sh	sh	táashì, ƙàr̃ƙáshín	Hausa	64	U+0073 U+0068
^f	f	fáatàa, fíilíi	Hausa	62	U+005e U+0066
^ƙ	<?>	ƙásáa, ƙáayàa	Hausa	61	U+005e U+0199
^à	à	àbíncí, àráa	Hausa	61	U+005e U+00e0
