Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	kesalahan, lembaga pemasyarakatan	Indonesian	1904	U+0061
e	e	memegang, segera	Indonesian	1079	U+0065
n	n	pincang, kunang-kunang	Indonesian	997	U+006e
u	u	menumbuk, pisau cukur	Indonesian	695	U+0075
i	i	lilin, pikir	Indonesian	618	U+0069
r	r	terburu-buru, berlari	Indonesian	489	U+0072
^m	m	memegang, membawa	Indonesian	442	U+005e U+006d
l	l	tulang belulang, jalan	Indonesian	365	U+006c
m	m	tanaman merambat, membawa	Indonesian	351	U+006d
t	t	kutu, tempat tidur	Indonesian	326	U+0074
k	k	laki-laki, percékcokan	Indonesian	324	U+006b
n$	n	jalan, kesalahan	Indonesian	319	U+006e U+0024
g	g	pergelangan tangan, memegang	Indonesian	312	U+0067
a$	a	membawa, meraba	Indonesian	294	U+0061 U+0024
b	b	membawa, terlambat	Indonesian	238	U+0062
^b	b	bulan, biji	Indonesian	234	U+005e U+0062
^k	k	kesalahan, kutu	Indonesian	228	U+005e U+006b
i$	i	lelaki, mati	Indonesian	225	U+0069 U+0024
g$	g	memegang, memanggang	Indonesian	217	U+0067 U+0024
o	o	pohon, kosong	Indonesian	215	U+006f
p	p	sepupu, dapur	Indonesian	204	U+0070
^p	p	pincang, pria	Indonesian	199	U+005e U+0070
d	d	tidur, bidadari	Indonesian	193	U+0064
^t	t	terlambat, tidur	Indonesian	177	U+005e U+0074
^s	s	sebab, sembahyang	Indonesian	172	U+005e U+0073
k$	ʔ	naik, masak	Indonesian	170	U+006b U+0024
k{}	ʔ				
s	s	kesalahan, masak	Indonesian	167	U+0073
t$	t	terlambat, telat	Indonesian	163	U+0074 U+0024
r$	r	tidur, dapur	Indonesian	151	U+0072 U+0024
é	é/e	kakék-nénék, écék-écék	Indonesian	143	U+00e9
u$	u	kutu, terwélu	Indonesian	127	U+0075 U+0024
_	_	musim gugur, emak tiri	Indonesian	124	U+005f
y	j	dayung, menyembunyikan	Indonesian	109	U+0079
h$	h	mentah, tanah	Indonesian	108	U+0068 U+0024
h	h	kesalahan, melihat	Indonesian	106	U+0068
j	dʒ	menjunjung, biji	Indonesian	99	U+006a
c	tʃ	mencaci-maki, kelinci	Indonesian	97	U+0063
^l	l	lilin, lelaki	Indonesian	88	U+005e U+006c
s$	s	gadis, keras	Indonesian	73	U+0073 U+0024
^a	a	angin, ada	Indonesian	70	U+005e U+0061
l$	l	mengambil, tinggal	Indonesian	65	U+006c U+0024
gg	g g	menggenggam, tenggelam	Indonesian	64	U+0067 U+0067
^d	d	di, dalam	Indonesian	61	U+005e U+0064
m$	m	tenggelam, menggenggam	Indonesian	59	U+006d U+0024
^g	g	garpu, gadis	Indonesian	56	U+005e U+0067
^r	r	rakus, rasa malu	Indonesian	50	U+005e U+0072
^c	tʃ	cabang, cepat	Indonesian	47	U+005e U+0063
^j	dʒ	jalan, jelék	Indonesian	46	U+005e U+006a
^h	h	hidup, hawa	Indonesian	37	U+005e U+0068
p$	p	hidup, menggarap	Indonesian	36	U+0070 U+0024
w	w	membawa, tawon	Indonesian	36	U+0077
-	+	mencaci-maki, laki-laki	Indonesian	33	U+002d
^i	i	injéksi, ikat	Indonesian	32	U+005e U+0069
^n	n	naik, nampak	Indonesian	27	U+005e U+006e
^u	u	urat, udara	Indonesian	23	U+005e U+0075
