Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	bihaltan, nagal	Old High German	517	U+0061
i	i	niowiht, biwerien	Old High German	461	U+0069
e	e	zellen, fellen	Old High German	370	U+0065
n$	n	stôzan, bihaltan	Old High German	362	U+006e U+0024
r	r	irbarmida, êrgesteren	Old High German	303	U+0072
n	n	enti, anafang	Old High German	234	U+006e
u	u	muscula, turistuodal	Old High German	231	U+0075
o	o	snora, koufen	Old High German	208	U+006f
l	l	nâdala, sculd	Old High German	192	U+006c
t	t	stioftohter, enti	Old High German	190	U+0074
^s	s	stôzan, sculd	Old High German	180	U+005e U+0073
a$	a	nâdala, snora	Old High German	171	U+0061 U+0024
g	g	nagal, reganbogo	Old High German	118	U+0067
o$	o	bogo, (h)wio	Old High German	108	U+006f U+0024
^b	b	bitten, bihaltan	Old High German	101	U+005e U+0062
^f	f	fedara, fleisc	Old High German	93	U+005e U+0066
t$	t	niowiht, lant	Old High German	89	U+0074 U+0024
^h	h	hôh, himil	Old High German	89	U+005e U+0068
b	b	trîban, rîbil	Old High German	86	U+0062
i$	i	enti, kwiti	Old High German	84	U+0069 U+0024
r$	r	ander, (h)wer	Old High German	83	U+0072 U+0024
s	s	mezzisahs, brust	Old High German	81	U+0073
^w	w	wîsi, weih	Old High German	78	U+005e U+0077
ô	ô	tarôn, stôzan	Old High German	77	U+00f4
k	k	enkilîn, ackus	Old High German	75	U+006b
m	m	zimbarman, himil	Old High German	68	U+006d
d	d	nâdala, ander	Old High German	68	U+0064
â	â	nâdala, nâtâri	Old High German	68	U+00e2
^g	g	giozan, graban	Old High German	67	U+005e U+0067
^k	k	knopf, koufen	Old High German	59	U+005e U+006b
^m	m	mezzisahs, meto	Old High German	58	U+005e U+006d
î	î	trîban, enkilîn	Old High German	58	U+00ee
f	f	pfîfôn, koufen	Old High German	56	U+0066
l$	l	nagal, himil	Old High German	54	U+006c U+0024
^t	t	tarôn, teilen	Old High German	52	U+005e U+0074
^l	l	lant, lûs	Old High German	49	U+005e U+006c
c	c	sculd, ackus	Old High German	46	U+0063
h	h	bihaltan, swehur	Old High German	44	U+0068
^n	n	nâdala, nâh	Old High German	43	U+005e U+006e
^r	r	ruodar, rûh	Old High German	42	U+005e U+0072
z	z	stôzan, giozan	Old High German	42	U+007a
^a	a	ander, ackus	Old High German	40	U+005e U+0061
g$	g	kruog, sâlig	Old High German	40	U+0067 U+0024
^e	e	enti, er	Old High German	39	U+005e U+0065
ê	ê	werên, folgên	Old High German	34	U+00ea
^z	z	zellen, zala	Old High German	34	U+005e U+007a
hh	hh	riohhan, nihhus	Old High German	31	U+0068 U+0068
p	p	knopf, sparro	Old High German	31	U+0070
w	w	biwerien, niowiht	Old High German	30	U+0077
^d	d	degan, desêr	Old High German	30	U+005e U+0064
zz	zz	mezzisahs, krazzôn	Old High German	28	U+007a U+007a
nn	nn	rennen, mennisco	Old High German	27	U+006e U+006e
^i	i	iz, ir	Old High German	26	U+005e U+0069
z$	z	iz, kurz	Old High German	26	U+007a U+0024
h$	h	weih, ih	Old High German	22	U+0068 U+0024
f$	f	knopf, tiof	Old High German	21	U+0066 U+0024
û	û	drûbo, scûfla	Old High German	21	U+00fb
d$	d	sculd, kind	Old High German	20	U+0064 U+0024
m$	m	bodam, eidum	Old High German	19	U+006d U+0024
b$	b	toub, lob	Old High German	17	U+0062 U+0024
