Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	ɨaraχan, tarbaχ	Sakha	554	U+0061
r	r	ɨaraχan, tart	Sakha	387	U+0072
ɨ	ɨ	sɨtɨybɨt, χatɨrɨk	Sakha	366	U+0268
e	e	čepčeki, keččegey	Sakha	323	U+0065
u	u	kuturguya, töröːbütün tuhunan tuohu suruk	Sakha	313	U+0075
o	o	toyon, soɣotoχ	Sakha	305	U+006f
t	t	soto bötöɣötö, töröːbütün tuhunan tuohu suruk	Sakha	271	U+0074
i	i	kime billibet kihi, sibiligin	Sakha	265	U+0069
l	l	alʤat, balɨs	Sakha	242	U+006c
^k	k	kini, kɨːs	Sakha	205	U+005e U+006b
^s	s	sien, siːkey	Sakha	197	U+005e U+0073
^t	t	tut, tüː	Sakha	181	U+005e U+0074
^b	b	bɨraːt, balɨs	Sakha	166	U+005e U+0062
ü	ü	kütüöt, tarbaχ ütülük	Sakha	159	U+00fc
n$	n	ɨaraχan, toyon	Sakha	157	U+006e U+0024
aː	aː	bɨraːt, ɲaːlbaːn	Sakha	157	U+0061 U+02d0
n	n	kini, töröːbütün tuhunan tuohu suruk	Sakha	146	U+006e
t$	t	tut, tart	Sakha	144	U+0074 U+0024
a$	a	balta, muosta	Sakha	143	U+0061 U+0024
h	h	ihit, ohoχ	Sakha	140	U+0068
ɣ	ɣ	čaɣɨlɣan, taɣɨs	Sakha	133	U+0263
χ$	χ	ohoχ, aːχ	Sakha	130	U+03c7 U+0024
b	b	ogdoːbo, ubay	Sakha	129	U+0062
r$	r	uːr, oŋor	Sakha	129	U+0072 U+0024
s$	s	mas, kɨːs	Sakha	125	U+0073 U+0024
_	_	töröːbütün tuhunan tuohu suruk, taχsan kiːrer sir	Sakha	122	U+005f
ö	ö	soto bötöɣötö, čöɣöčök	Sakha	122	U+00f6
k	k	čepčeki, siːkey	Sakha	114	U+006b
^χ	χ	χataːhɨn, χatɨrɨk	Sakha	112	U+005e U+03c7
g	g	ogdoːbo, keččegey	Sakha	101	U+0067
y$	y	emiːy, siːkey	Sakha	99	U+0079 U+0024
m	m	emiːy, emeːχsin	Sakha	99	U+006d
s	s	muosta, ispiːske	Sakha	96	U+0073
y	y	toyon, čeydeː	Sakha	96	U+0079
e$	e	biriːppe, ehe	Sakha	92	U+0065 U+0024
^a	a	alʤat, ahɨː	Sakha	83	U+005e U+0061
aː$	aː	bɨːhaː, ɨyaː	Sakha	75	U+0061 U+02d0 U+0024
d	d	töröːbüt doydu, öydöːχ	Sakha	71	U+0064
l$	l	ɨl, uol	Sakha	70	U+006c U+0024
^m	m	mas, melʤi	Sakha	70	U+005e U+006d
k$	k	kuruːk, ürdük	Sakha	65	U+006b U+0024
^ɨ	ɨ	ɨaraχan, ɨl	Sakha	64	U+005e U+0268
^u	u	uol, uot	Sakha	56	U+005e U+0075
ŋ	ŋ	oŋor, χoruoŋka	Sakha	56	U+014b
ɨː	ɨː	kɨːs, bɨːhaː	Sakha	54	U+0268 U+02d0
^e	e	ehe, emeːχsin	Sakha	53	U+005e U+0065
^i	i	ihit, iliː	Sakha	50	U+005e U+0069
χ	χ	ɨaraχan, ɨrbaːχɨ	Sakha	50	U+03c7
^č	č	čepčeki, čaɣɨlɣan	Sakha	50	U+005e U+010d
^o	o	oŋor, ohoχ	Sakha	49	U+005e U+006f
