Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
(	NULL				
)	NULL				
1	NULL				
2	NULL				
a	a	sas, lahan lo	Archi	777	U+0061
u	u	kɬummus, nusdur	Archi	461	U+0075
i	i	ocis, dunil χiriχkumul	Archi	340	U+0069
s$	s	sas, as	Archi	314	U+0073 U+0024
o	o	q’orol bošor, bošor	Archi	251	U+006f
r	r	barq barčʼurtːut raq, barq borkɬinnut raq	Archi	235	U+0072
_	_	ʕejb itʼukul ocis as, lahan lo	Archi	216	U+005f
e	e	ɬːenne lo, mekɬe lo	Archi	180	U+0065
k	k	šːak kes, q’akul	Archi	175	U+006b
l	l	lahan lo, parəla	Archi	157	U+006c
b	b	baba, aʔbos	Archi	155	U+0062
n	n	cʼunas, lahan lo	Archi	150	U+006e
tː	tː	oɬːutːut, χalatːu	Archi	133	U+0074 U+02d0
t$	t	oˤnt, oɬːutːut	Archi	127	U+0074 U+0024
t	t	at’as, kart’ilit sas	Archi	114	U+0074
m	m	eχmus, ɬːerumk'ul	Archi	109	U+006d
i$	i	ɬːʷiri, arsi	Archi	103	U+0069 U+0024
’	ʼ	at’as, q’akul	Archi	96	U+2019
u$	u	χˤurχˤu, q’urumnu	Archi	87	U+0075 U+0024
^a	a	as, ačas	Archi	87	U+005e U+0061
l$	l	cal, q’akul	Archi	83	U+006c U+0024
a$	a	dada, hawa	Archi	83	U+0061 U+0024
d	d	dada, nusdur	Archi	80	U+0064
n$	n	gon, nen	Archi	78	U+006e U+0024
^k	k	kɬos, kummul	Archi	77	U+005e U+006b
^b	b	bos, baba	Archi	73	U+005e U+0062
^d	d	dada, dunil	Archi	71	U+005e U+0064
^q	q	q’akul, qarmaq	Archi	64	U+005e U+0071
q	q	aqatːut, k'uc'illit q'ˤijq'is	Archi	64	U+0071
χ	χ	eχmus, genuklin χaχatːub	Archi	62	U+03c7
^m	m	muč, mekɬe	Archi	62	U+005e U+006d
ɬ	ɬ	kɬos, okɬmus	Archi	61	U+026c
s	s	χustaras, asmus deqˤes	Archi	57	U+0073
š	ʃ	gʷeniši, bošor	Archi	56	U+0161
r$	r	nusdur, bošor	Archi	50	U+0072 U+0024
č	tʃ	ačas, čučəbos	Archi	50	U+010d
^t	t	tow, tor	Archi	48	U+005e U+0074
^h	h	hawa, harak	Archi	43	U+005e U+0068
ə	ə	parəla, kaʁəra	Archi	41	U+0259
^n	n	nen, noqː'ˤon	Archi	40	U+005e U+006e
^i	i	iq, iqdut	Archi	38	U+005e U+0069
^l	l	lahan lo, lo	Archi	35	U+005e U+006c
^o	o	ocis, ocʼ	Archi	35	U+005e U+006f
^č	tʃ	čarχ, čaras	Archi	34	U+005e U+010d
^χ	χ	χustaras, χol	Archi	34	U+005e U+03c7
c	c	ecas, ocis	Archi	32	U+0063
aˤ	aˤ	daˤzi, paˤtəla	Archi	32	U+0061 U+02e4
^j	j	jatːik, jakɬʼad	Archi	31	U+005e U+006a
o$	o	lahan lo, lo	Archi	30	U+006f U+0024
j	j	ʕejb, šumijtʼu	Archi	30	U+006a
^s	s	sas, sini	Archi	29	U+005e U+0073
nn	n n	ɬːonnol, ɬːenne	Archi	28	U+006e U+006e
^p	p	parəla, peč	Archi	28	U+005e U+0070
^g	g	gon, gimi	Archi	27	U+005e U+0067
z	z	daˤzi, buzma	Archi	27	U+007a
