Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	niam tais, puab-tsaig	White Hmong	1035	U+0061
_	_	nrog tu siab, ua li cas	White Hmong	736	U+005f
u	u	plaub muag, tua	White Hmong	548	U+0075
i	i	niam tais, niam txiv	White Hmong	389	U+0069
^n	n	niam, nyob	White Hmong	293	U+005e U+006e
b$	NULL	nyob, tub	White Hmong	270	U+0062 U+0024
o	o	qhov-txos, nyob	White Hmong	255	U+006f
t	t	ntawv, ntuj-tawg teb txias	White Hmong	221	U+0074
v$	NULL	ntawv, yuav	White Hmong	221	U+0076 U+0024
n	n	pojniam, hnov	White Hmong	220	U+006e
b	b	sab qab teb, sab hnub poob	White Hmong	189	U+0062
v	v	qhov-txos, kev xaiv tsa	White Hmong	180	U+0076
e	e	dej, kev	White Hmong	179	U+0065
s$	NULL	mis, ntaus	White Hmong	173	U+0073 U+0024
j$	NULL	phaj, kaj	White Hmong	168	U+006a U+0024
m$	NULL	niam, saum	White Hmong	164	U+006d U+0024
g$	NULL	yog, lig	White Hmong	163	U+0067 U+0024
^t	t	txhaum, tua	White Hmong	136	U+005e U+0074
j	j	pojniam, caij nplooj ntoo hlav	White Hmong	135	U+006a
m	m	chaw mos, niam tais	White Hmong	135	U+006d
s	ʂ	maus taus xais, zes kab laug sab	White Hmong	129	U+0073
l	l	mlom, hlau	White Hmong	120	U+006c
-	+	qhov-txos, xeeb-ntxwv	White Hmong	104	U+002d
w	ɯ	ntawv, chaw mos	White Hmong	104	U+0077
^h	h	hnov, hnia	White Hmong	101	U+005e U+0068
oo	õ	foom koob hmoov, pog koob yawg koob	White Hmong	98	U+006f U+006f
x	s	qhov-txos, niam txiv	White Hmong	96	U+0078
^p	p	pojniam, puag	White Hmong	88	U+005e U+0070
ee	ẽ	nees, luam yeeb	White Hmong	82	U+0065 U+0065
p	p	npuj-npaim, tshaib plab	White Hmong	80	U+0070
y	ʝ	nyob, nyiaj	White Hmong	79	U+0079
ts	tʃ	ntse, ntsuas phoo	White Hmong	76	U+0074 U+0073
c	c	ncaj ncees, qhov-cub	White Hmong	64	U+0063
k	k	pog koob yawg koob, nkag	White Hmong	60	U+006b
q	q	raws qab, nqaj qaum	White Hmong	59	U+0071
^k	k	kaj, kev	White Hmong	59	U+005e U+006b
g	ŋ	cog lus, pog koob yawg koob	White Hmong	57	U+0067
^l	l	lus, luam yeeb	White Hmong	55	U+005e U+006c
^c	c	cog lus, ci	White Hmong	52	U+005e U+0063
a$	a	tua, hnia	White Hmong	48	U+0061 U+0024
^ts	tʃ	tso, tsaug	White Hmong	47	U+005e U+0074 U+0073
^x	s	xib fwb, xeeb tub	White Hmong	46	U+005e U+0078
^m	m	mis, mlom	White Hmong	45	U+005e U+006d
^s	ʂ	saum, siav	White Hmong	45	U+005e U+0073
r	ʈ	nruab nrab, nrub nrab	White Hmong	44	U+0072
^d	d	dej, dag	White Hmong	42	U+005e U+0064
h	h	noj hmo, hneev roj hmab	White Hmong	42	U+0068
^y	ʝ	yuav, yog	White Hmong	40	U+005e U+0079
u$	u	hlau, du	White Hmong	40	U+0075 U+0024
^qh	qʰ	qhov, qhov-txos	White Hmong	35	U+005e U+0071 U+0068
^kh	kʰ	khav, khawb	White Hmong	30	U+005e U+006b U+0068
^q	q	qiv, qos liab	White Hmong	28	U+005e U+0071
