Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	zama-zamalliʔ, saq’dari	Bezhta	694	U+0061
-	+	-ow-, -ox-	Bezhta	568	U+002d
i	i	bikinab, t’ibit’izi -ow-	Bezhta	461	U+0069
o	o	tormoz bowo-, c’oɬiyo ek’eyoɬi	Bezhta	390	U+006f
o$	o	wodo, aqo	Bezhta	268	U+006f U+0024
e	e	bet’erhan, perezident	Bezhta	232	U+0065
_	_	inkar bow-, enekzi -aq-	Bezhta	221	U+005f
l	l	mašinalis nomerla, halaɬcolāq	Bezhta	195	U+006c
a$	a	soyya, ƛ’isa-	Bezhta	191	U+0061 U+0024
ä	æ	räʔäl, häymän	Bezhta	184	U+00e4
y	j	kayƛoyo, q’eyas t’iyo	Bezhta	178	U+0079
k	k	äkö, inkar bow-	Bezhta	171	U+006b
u	u	muk’ur -aq-, ɣuɣluƛ’a -ece-	Bezhta	151	U+0075
n	n	kantinent, inkar bow-	Bezhta	151	U+006e
t	t	bet’erhan, it’ino	Bezhta	144	U+0074
r	r	inkar bow-, muk’ur -aq-	Bezhta	143	U+0072
i$	i	ladi, ɬi	Bezhta	138	U+0069 U+0024
d	d	ladi, wodo	Bezhta	137	U+0064
ƛ	tɬ	ẽxeƛ’alƛ’ā -ẽƛ’e-, kayƛoyo	Bezhta	135	U+019b
q	q	-äq’q’ö, aqo	Bezhta	128	U+0071
^k	k	k’ihmat, kid	Bezhta	114	U+005e U+006b
c	ts	-owaʔcoy -ece-, ãc’c’o	Bezhta	111	U+0063
b	b	inkar bow-, haboy	Bezhta	109	U+0062
^h	h	haboy, has	Bezhta	109	U+005e U+0068
^b	b	box, bet’erhan	Bezhta	107	U+005e U+0062
s	s	iq’aʔcas suk’o, ƛ’isa-	Bezhta	105	U+0073
m	m	k’ihmat, ömrö b-ow-	Bezhta	99	U+006d
^m	m	mäče, mašina	Bezhta	92	U+005e U+006d
e$	e	mäče, -ĩze-	Bezhta	87	U+0065 U+0024
l$	l	räʔäl, qal	Bezhta	78	U+006c U+0024
^q	q	qal, q’ō	Bezhta	74	U+005e U+0071
č	tʃ	qäč’č’ö, mäče	Bezhta	71	U+010d
z	z	-ĩze-, enekzi -aq-	Bezhta	67	U+007a
ɬ	ɬ	-ẽɬeyo, c’oɬiyo ek’eyoɬi	Bezhta	67	U+026c
^i	i	inkar bow-, -ixalo	Bezhta	64	U+005e U+0069
x	x	axir, niqeš xöxö	Bezhta	63	U+0078
ɣ	ɣ	niɣe, xoyɣo	Bezhta	59	U+0263
ö$	œ	äkö, -äq’q’ö	Bezhta	58	U+00f6 U+0024
n$	n	bet’erhan, häymän	Bezhta	57	U+006e U+0024
ʔ	ʔ	räʔäl, saʔat	Bezhta	53	U+0294
^t	t	t’ut’-, tüšöl-	Bezhta	53	U+005e U+0074
g	g	ungo-ungoyab, yiga-	Bezhta	51	U+0067
^a	a	abo, axir	Bezhta	50	U+005e U+0061
^n	n	niƛ-, niso-	Bezhta	50	U+005e U+006e
ö	œ	-öɣ--ök’öyö, yöxöš yow-	Bezhta	49	U+00f6
^x	x	xida, xac’o	Bezhta	49	U+005e U+0078
w$	w	-ow-, inkar bow-	Bezhta	48	U+0077 U+0024
š	ʃ	nišeš bešiyoɬi, mašina	Bezhta	48	U+0161
^ƛ	tɬ	ƛ’odo, ƛiyo	Bezhta	48	U+005e U+019b
