Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	graian san anaŋ, makao	Takia	924	U+0061
-	+	-abi, tei-	Takia	789	U+002d
e	e	tei-, bllek	Takia	305	U+0065
n	n	-fni, graian san anaŋ	Takia	299	U+006e
o	o	-loŋ, wos	Takia	272	U+006f
i	i	nanu-n ir-tarsin-ek, pein	Takia	263	U+0069
i$	i	-abi, tei-	Takia	232	U+0069 U+0024
_	_	graian san anaŋ, you wanna-n san ur	Takia	231	U+005f
l	l	-flale, fflu-	Takia	223	U+006c
r	r	irao-, krek	Takia	187	U+0072
u	u	-mul, nanu-k	Takia	159	U+0075
n$	n	pein, awa-n to-n	Takia	149	U+006e U+0024
t	t	you i-tlanti, ut patu-n	Takia	148	U+0074
a$	a	-ga, wada-	Takia	143	U+0061 U+0024
^s	s	-sda, sae-	Takia	132	U+005e U+0073
b	b	-abi, rebit	Takia	118	U+0062
^m	m	makao, -mul	Takia	108	U+005e U+006d
m	m	gmagam tamol, tamol	Takia	106	U+006d
^t	t	tei-, tamol	Takia	105	U+005e U+0074
d	d	wada-, ad i-du da-k lo	Takia	103	U+0064
^k	k	krek, kmae-	Takia	101	U+005e U+006b
k$	k	bllek, krek	Takia	95	U+006b U+0024
s	s	-la-sa, yaes -bal	Takia	94	U+0073
^b	b	bllek, -bol	Takia	92	U+005e U+0062
^p	p	pein, -pani	Takia	88	U+005e U+0070
e$	e	-gane, sae-	Takia	88	U+0065 U+0024
k	k	makao, -puk -klakil	Takia	86	U+006b
^g	g	-gane, -ga	Takia	84	U+005e U+0067
^a	a	-abi, -aw	Takia	81	U+005e U+0061
u$	u	-du, fflu-	Takia	80	U+0075 U+0024
g	g	mat-gigen, ager	Takia	74	U+0067
l$	l	-mul, -bol	Takia	72	U+006c U+0024
ŋ	ŋ	krŋe-, tŋ-tŋae-mi	Takia	61	U+014b
t$	t	rebit, pat	Takia	58	U+0074 U+0024
^d	d	-du, -dad	Takia	56	U+005e U+0064
p	p	pen -pani, niuspepa	Takia	55	U+0070
^n	n	nanu-k, nao-	Takia	53	U+005e U+006e
s$	s	wos, galas	Takia	53	U+0073 U+0024
o$	o	irao-, makao	Takia	53	U+006f U+0024
r$	r	-sror, -bar	Takia	51	U+0072 U+0024
ŋ$	ŋ	-loŋ, ggreŋ	Takia	51	U+014b U+0024
w	w	iwaiwo, ŋewŋew i-fni	Takia	50	U+0077
y	y	uya-, myanu-k	Takia	48	U+0079
^w	w	wada-, wos	Takia	47	U+005e U+0077
^l	l	-la-sa, -loŋ	Takia	46	U+005e U+006c
^f	f	-fni, fok	Takia	46	U+005e U+0066
^i	i	irao-, iwo-	Takia	43	U+005e U+0069
^y	y	you, you i-tlanti	Takia	33	U+005e U+0079
^r	r	rebit, ru	Takia	32	U+005e U+0072
m$	m	im, kalam	Takia	30	U+006d U+0024
g$	g	beig, damag	Takia	30	U+0067 U+0024
f	f	patu-n fo, kofi	Takia	28	U+0066
^ŋ	ŋ	ŋe-, -ŋa	Takia	25	U+005e U+014b
b$	b	gib, galab	Takia	24	U+0062 U+0024
d$	d	-dad, bod	Takia	24	U+0064 U+0024
^u	u	uya-, uru	Takia	24	U+005e U+0075
w$	w	-aw, klmo-kaw	Takia	21	U+0077 U+0024
p$	p	stop, sup	Takia	20	U+0070 U+0024
y$	y	klloy, srawoy	Takia	13	U+0079 U+0024
