Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
_	_	2ʃiŋ 3tuŋ 4tʰuŋ, 3te 4tʰaŋ 1kʰʌ	Manange	319	U+005f
a	a	1aku, 1aŋi	Manange	277	U+0061
^1	NULL	1aku, 1kje	Manange	261	U+005e U+0031
ʌ	ʌ	1tʌntsʌ 2tsʌtsʌ, 4tsʰʌɾ	Manange	235	U+028c
k	k	1aku, 1kje	Manange	217	U+006b
u	u	2ʃiŋ 3tuŋ 4tʰuŋ, kuruŋ	Manange	204	U+0075
j	j	4mjekje, 1kje	Manange	199	U+006a
^2	NULL	2naka, 2tʰa	Manange	196	U+005e U+0032
p	p	2tʰim 1pim-pʌ, 2ta 3pi-tse 3pi	Manange	192	U+0070
o	o	1tʰoŋ 4sol, 1kʰoktoŋ	Manange	184	U+006f
ʌ$	ʌ	1tʌ, 3te 4tʰaŋ 1kʰʌ	Manange	184	U+028c U+0024
i	i	2mi 2mitsʰe, tʃipli tʃipli	Manange	173	U+0069
t	t	1tʌ, tete tete 2tʰa	Manange	168	U+0074
l	l	3kul kul 1lʌ-tse 4pʰro, pʰul 1lʌ	Manange	164	U+006c
ŋ	ŋ	2ʃiŋ 3tuŋ 4tʰuŋ, 1aŋi	Manange	159	U+014b
m	m	2mi 2mitsʰe, 2mome	Manange	155	U+006d
i$	i	1aŋi, 3naŋ=ri	Manange	154	U+0069 U+0024
^3	NULL	3jul, 3naŋ=ri	Manange	151	U+005e U+0033
r	r	3naŋ=ri, =ri	Manange	142	U+0072
ŋ$	ŋ	2ʃiŋ 3tuŋ 4tʰuŋ, 1jaŋ	Manange	136	U+014b U+0024
e	e	tete tete 2tʰa, 3te 4tʰaŋ 1kʰʌ	Manange	133	U+0065
e$	e	1kje, 1ʂe	Manange	126	U+0065 U+0024
^4	NULL	4tsʰʌɾ, 4nu	Manange	116	U+005e U+0034
1	NULL	2kju 1a-tsaŋ-pʌ 1mo 1mu, 1apo 1amo 1a-rʌ-pʌ 1kola	Manange	114	U+0031
a$	a	2naka, 2tʰa	Manange	100	U+0061 U+0024
n	n	3naŋ=ri, 4nu	Manange	98	U+006e
o$	o	2no, ʃoŋto	Manange	87	U+006f U+0024
kʰ	kʰ	4kʰjẽ, 4tʰaŋ 1kʰʌ	Manange	84	U+006b U+02b0
-	+	1pʰʌ 1a-rʌ-pʌ, ŋo 2a-ʃi-pʌ 3mi	Manange	79	U+002d
ts	ts	1tʌntsʌ 2tsʌtsʌ, 2tʌ 1tsʌtsʌ	Manange	77	U+0074 U+0073
u$	u	1aku, 1ʈu	Manange	75	U+0075 U+0024
pʰ	pʰ	4pʰɾa, 1pʰja	Manange	65	U+0070 U+02b0
ʃ	ʃ	2ʃoʃo, 2ʃiŋ 3tuŋ 4tʰuŋ	Manange	60	U+0283
2	NULL	1tʌntsʌ 2tsʌtsʌ, 2mi 2mitsʰe	Manange	58	U+0032
s	s	2siŋ hoktoŋ 3sʌ, 1tʰoŋ 4sol	Manange	54	U+0073
tʰ	tʰ	2tʰa, 2ʃiŋ 3tuŋ 4tʰuŋ	Manange	50	U+0074 U+02b0
^k	k	kuɾu, kopʃi	Manange	41	U+005e U+006b
ʈ	ʈ	1ʈu, 2ʈu 2ʈu	Manange	37	U+0288
r$	r	2kor, pʌriwʌr	Manange	37	U+0072 U+0024
