Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
_	_	sự phản bội lời thề, bữa ăn tối	Vietnamese	715	U+005f
n	n	không nổi sóng, con rể	Vietnamese	367	U+006e
i	i	giấy khai sinh, chiến lợi phẩm	Vietnamese	235	U+0069
i$	i	cháu trai, em trai	Vietnamese	179	U+0069 U+0024
g	g	ông goá vợ, cây thông rụng lá	Vietnamese	173	U+0067
n$	n	chén, kết án	Vietnamese	173	U+006e U+0024
g$	g	mang, xuống	Vietnamese	163	U+0067 U+0024
u	u	cháu trai, xuống	Vietnamese	161	U+0075
a	a	khoai lang, cháu trai	Vietnamese	142	U+0061
á	á/a	cháu gái, cháu trai	Vietnamese	136	U+00e1
t	t	xe trượt tuyết, cháu trai	Vietnamese	118	U+0074
^b	ɓ	bữa ăn tối, bí	Vietnamese	117	U+005e U+0062
^t	t	trước, tay	Vietnamese	108	U+005e U+0074
^n	n	ngực, nói	Vietnamese	105	U+005e U+006e
^đ	ɗ	đâm, đập	Vietnamese	105	U+005e U+0111
à	à/a	đàn bà có chồng, nhà đàn ông	Vietnamese	103	U+00e0
^c	k	con rể, cô	Vietnamese	99	U+005e U+0063
t$	t	thịt, chảy nhỏ giọt	Vietnamese	98	U+0074 U+0024
c	k	Thuốc độc cho con cá, gốc cây	Vietnamese	94	U+0063
^m	m	mang, mó	Vietnamese	93	U+005e U+006d
ư	ư/ɯ	trước, bươm bướm	Vietnamese	89	U+01b0
m$	m	đâm, làm	Vietnamese	88	U+006d U+0024
^ch	c	chớp, cháu	Vietnamese	87	U+005e U+0063 U+0068
^th	tʰ	thuốc lá, thề	Vietnamese	82	U+005e U+0074 U+0068
o	ɔ	con rể, con dấu	Vietnamese	81	U+006f
r	r	con rể, trước	Vietnamese	80	U+0072
m	m	tầm ma, âm mưu	Vietnamese	78	U+006d
y$	y/ɪi	tay, nhảy	Vietnamese	76	U+0079 U+0024
^l	l	lên, lỗi	Vietnamese	73	U+005e U+006c
ố	ố/o	xuống, bữa ăn tối	Vietnamese	73	U+1ed1
a$	a	đĩa, mửa	Vietnamese	72	U+0061 U+0024
^s	s	sồi, sau	Vietnamese	69	U+005e U+0073
u$	u	con dấu, con dâu	Vietnamese	67	U+0075 U+0024
ô	ô/o	không, thông	Vietnamese	63	U+00f4
ạ	ạ/a	bọ cạp, lạnh	Vietnamese	61	U+1ea1
â	â/ʌ	dây câu, đâm	Vietnamese	57	U+00e2
o$	ɔ	nguyên cáo, mèo	Vietnamese	56	U+006f U+0024
ó	ó/ɔ	khóa móc, nói	Vietnamese	56	U+00f3
^v	v	vàng, vỏ	Vietnamese	53	U+005e U+0076
^h	h	học, hai mươi	Vietnamese	52	U+005e U+0068
nh	ɲ	cánh hình chạc, hình như	Vietnamese	50	U+006e U+0068
đ	ɗ	cá đuối gai độc, bò đực	Vietnamese	50	U+0111
ế	ế/e	kết án, đến	Vietnamese	49	U+1ebf
l	l	thuốc lá, khoai lang	Vietnamese	48	U+006c
y	i	chảy nhỏ giọt, giày đi tuyết	Vietnamese	47	U+0079
ộ	ộ/o	băng buộc đầu, vội	Vietnamese	46	U+1ed9
th	tʰ	nhà thờ, bàn thờ	Vietnamese	43	U+0074 U+0068
ắ	ắ/ɐ	sắn, vỏ sắt	Vietnamese	42	U+1eaf
ả	ả/a	giảng giải, nhảy	Vietnamese	42	U+1ea3
