Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	palaw, ral chaq’na’	Q'eqchi'	1062	U+0061
o	o	tzolok, jochok	Q'eqchi'	594	U+006f
i	i	chi rix, nimla tenamit	Q'eqchi'	545	U+0069
k$	k	jachok, ch'e'ok	Q'eqchi'	518	U+006b U+0024
’	<?>	ink’a’ ch’olch’o, xk’a’uxlankil	Q'eqchi'	477	U+2019
k’	k’				
^k’	k’				
k’$	k’				
p’	p’				
t’	t’				
t’$	t’				
^t’	t’				
q’	qʼ				
tz’	ts’				
ch’	tʃʼ				
^tz’	ts’				
tz’$	ts’				
^ch’	tʃʼ				
ch’$	tʃʼ				
^b’	ɓ				
b’	ɓ				
b'	ɓ				
b'$	ɓ				
k'	k’				
k'$	k’				
ch'	tʃʼ				
ch'$	tʃʼ				
q'	qʼ				
q'$	qʼ				
tz'	ts’				
^tz'	ts’				
^t'	t’				
^b'	ɓ				
t'	t’				
^q'	qʼ				
t'$	t’				
tz'$	ts’				
^ch'	tʃʼ				
n	n	b’aanunk, echanink	Q'eqchi'	432	U+006e
e	e	remrem, neb’a’	Q'eqchi'	404	U+0065
u	u	muquk, kuruk	Q'eqchi'	398	U+0075
_	_	raqok aatin chi rix, ch’och’ sutsu chi ha’	Q'eqchi'	392	U+005f
b	b	lub'lub', k'uub'leb'aal	Q'eqchi'	374	U+0062
l	l	eelelik, tojleb'aal maak	Q'eqchi'	374	U+006c
k	k	xk’a’uxlankil, aj k’aak’alehom ketomq	Q'eqchi'	332	U+006b
^k	k	kamenaq, karneer	Q'eqchi'	275	U+005e U+006b
t	t	kutan, najt roq	Q'eqchi'	269	U+0074
l$	l	al, wankil	Q'eqchi'	265	U+006c U+0024
q	q	muquk, saaraq'ik	Q'eqchi'	241	U+0071
^t	t	tzolok, tawok	Q'eqchi'	223	U+005e U+0074
ch	tʃ	ch'ina ch'iich', ru chi ch’och’	Q'eqchi'	193	U+0063 U+0068
r	ɾ	b'urux b'urux, karneer	Q'eqchi'	188	U+0072
’$	ʔ	sa’, neb’a’	Q'eqchi'	175	U+2019 U+0024
m	m	nimla tenamit, kamenaq	Q'eqchi'	166	U+006d
aa	aː	saaraq'ik, raqok aatin	Q'eqchi'	162	U+0061 U+0061
j	x	ka’j wi’, q'ojyin	Q'eqchi'	158	U+006a
n$	n	a’an, q'un	Q'eqchi'	134	U+006e U+0024
x	ʃ	ixq, rix xul	Q'eqchi'	133	U+0078
^r	r	remrem, raqok aatin	Q'eqchi'	129	U+005e U+0072
z	z	tzolok, tz’ik	Q'eqchi'	128	U+007a
^s	s	sa’, sachok	Q'eqchi'	128	U+005e U+0073
^ch	tʃ	ch'e'ok, chi rix	Q'eqchi'	125	U+005e U+0063 U+0068
^b	b	b’ayk, b’isok	Q'eqchi'	124	U+005e U+0062
^x	ʃ	xik’, xan	Q'eqchi'	122	U+005e U+0078
^j	x	jachok, jochok	Q'eqchi'	111	U+005e U+006a
^a	a	a’an, al	Q'eqchi'	109	U+005e U+0061
^p	p	palaw, patz'ok	Q'eqchi'	103	U+005e U+0070
s	s	osob'tesink, b’isok	Q'eqchi'	98	U+0073
m$	m	lem, k’aam	Q'eqchi'	98	U+006d U+0024
y	j	b’ayk, q'oyok	Q'eqchi'	90	U+0079
^m	m	may, muquk	Q'eqchi'	83	U+005e U+006d
