Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
á	á	pái, gádu kóti fája	Saramaccan	371	U+00e1
i$	i	kísi, léi	Saramaccan	345	U+0069 U+0024
n	n	únmë́ni, taánga	Saramaccan	289	U+006e
í	í	kísi, uwíi	Saramaccan	249	U+00ed
a	a	kabá, tapá	Saramaccan	249	U+0061
k	k	kákísa, búka	Saramaccan	243	U+006b
t	t	tatái, paatí	Saramaccan	236	U+0074
a$	a	taánga, fája	Saramaccan	204	U+0061 U+0024
u$	u	fútu, fátu	Saramaccan	197	U+0075 U+0024
ú	ú	fútu, búka	Saramaccan	162	U+00fa
b	b	kabá, kaabíta	Saramaccan	150	U+0062
ó	ó	wójókókóo, kóti	Saramaccan	149	U+00f3
m	m	të́mbëma, límbo	Saramaccan	148	U+006d
^b	b	bandja, búka	Saramaccan	140	U+005e U+0062
d	d	bandja, hédi	Saramaccan	139	U+0064
j	j	fája, mujë́ë	Saramaccan	138	U+006a
u	u	mujë́ë, máun	Saramaccan	135	U+0075
^k	k	kabá, kísi	Saramaccan	132	U+005e U+006b
i	i	séisónima, gádu kóti fája	Saramaccan	130	U+0069
s	s	kísi, kákísa	Saramaccan	125	U+0073
é	é	léi, mbéti	Saramaccan	120	U+00e9
g	g	taánga, tö́ngö	Saramaccan	120	U+0067
^t	t	tapá, taánga	Saramaccan	113	U+005e U+0074
^s	s	sumë́ë, subí	Saramaccan	112	U+005e U+0073
á$	á	kabá, tapá	Saramaccan	101	U+00e1 U+0024
^p	p	paatí, pái	Saramaccan	93	U+005e U+0070
p	p	tapá, kpíngíkpíngi	Saramaccan	86	U+0070
l	l	fulufulu, kulé	Saramaccan	85	U+006c
^f	f	fája, fan	Saramaccan	84	U+005e U+0066
^m	m	mái, mbéti	Saramaccan	81	U+005e U+006d
n$	n	ë́n, fan	Saramaccan	81	U+006e U+0024
ö́	ö́	tö́ngö, kö́ndë	Saramaccan	75	U+00f6 U+0301
^l	l	léi, límbo	Saramaccan	69	U+005e U+006c
^d	d	díki, diíngi	Saramaccan	69	U+005e U+0064
o	o	boóko, goón	Saramaccan	67	U+006f
ë́	ë́	bë́ë, mujë́ë	Saramaccan	64	U+00eb U+0301
_	_	gádu kóti fája, báka u dí wóto	Saramaccan	63	U+005f
^a	a	alibí, amanján	Saramaccan	61	U+005e U+0061
í$	í	paatí, subí	Saramaccan	60	U+00ed U+0024
^g	g	goón, gádu kóti fája	Saramaccan	60	U+005e U+0067
f	f	gádu kóti fája, biífi	Saramaccan	59	U+0066
^h	h	hási, hópo	Saramaccan	56	U+005e U+0068
o$	o	boóko, límbo	Saramaccan	56	U+006f U+0024
^w	w	wómi, wánwan	Saramaccan	53	U+005e U+0077
w	w	uwíi, hö́níwáta	Saramaccan	47	U+0077
ë$	ë	bë́ë, mujë́ë	Saramaccan	45	U+00eb U+0024
^n	n	nasí, namá	Saramaccan	40	U+005e U+006e
ö	ö	tjökö́, pötöpötö	Saramaccan	38	U+00f6
ö$	ö	tö́ngö, töö́tö	Saramaccan	38	U+00f6 U+0024
e	e	telefö́n, leibewéísi	Saramaccan	31	U+0065
ë	ë	të́mbëma, lëgëdë	Saramaccan	31	U+00eb
aa	aa	paatí, kaabíta	Saramaccan	26	U+0061 U+0061
ós	ós	koósuma, lósu	Saramaccan	25	U+00f3 U+0073
